i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
355,4,"(11, 15)","(0.71875, 0.96875)","(0.6875, 0.9375)","(0.75, 1.0)",0.03143076238084761,9.080643498856857e-11,0.0009878927330348702
356,4,"(11, 14)","(0.71875, 0.90625)","(0.6875, 0.875)","(0.75, 0.9375)",0.033345851245490415,6.704334204141334e-11,0.0011119457282430325
357,4,"(11, 13)","(0.71875, 0.84375)","(0.6875, 0.8125)","(0.75, 0.875)",0.03205864423752531,3.343725371033579e-11,0.0010277566369109611
358,4,"(10, 13)","(0.65625, 0.84375)","(0.625, 0.8125)","(0.6875, 0.875)",0.03411148082657406,5.464115220099901e-11,0.0011635930695405776
359,4,"(10, 12)","(0.65625, 0.78125)","(0.625, 0.75)","(0.6875, 0.8125)",0.0320586442375253,3.3437253710356674e-11,0.0010277566369109607
360,4,"(11, 12)","(0.71875, 0.78125)","(0.6875, 0.75)","(0.75, 0.8125)",0.032894256827873364,9.674160762780548e-12,0.001082032122583933
361,4,"(12, 12)","(0.78125, 0.78125)","(0.75, 0.75)","(0.8125, 0.8125)",0.032894256827873364,9.674160762744259e-12,0.001082032122583933
362,4,"(13, 12)","(0.84375, 0.78125)","(0.8125, 0.75)","(0.875, 0.8125)",0.03205864423752531,3.3437253710305886e-11,0.0010277566369109611
363,4,"(13, 13)","(0.84375, 0.84375)","(0.8125, 0.8125)","(0.875, 0.875)",0.034111480826574045,5.464115220093364e-11,0.0011635930695405765
364,4,"(12, 13)","(0.78125, 0.84375)","(0.75, 0.8125)","(0.8125, 0.875)",0.03205864423752531,3.3437253710289485e-11,0.0010277566369109611
365,4,"(12, 14)","(0.78125, 0.90625)","(0.75, 0.875)","(0.8125, 0.9375)",0.03334585124549041,6.704334204137562e-11,0.001111945728243032
366,4,"(12, 15)","(0.78125, 0.96875)","(0.75, 0.9375)","(0.8125, 1.0)",0.031430762380847625,9.080643498853666e-11,0.000987892733034871
367,4,"(13, 15)","(0.84375, 0.96875)","(0.8125, 0.9375)","(0.875, 1.0)",0.035098501587429755,1.0583189151140166e-10,0.0012319047078509172
368,4,"(13, 14)","(0.84375, 0.90625)","(0.8125, 0.875)","(0.875, 0.9375)",0.029955948066047934,8.462799302026965e-11,0.0008973587399077678
369,4,"(14, 14)","(0.90625, 0.90625)","(0.875, 0.875)","(0.9375, 0.9375)",0.035774787228232435,1.0949644492660131e-10,0.0012798352917288577
370,4,"(14, 15)","(0.90625, 0.96875)","(0.875, 0.9375)","(0.9375, 1.0)",0.02771026154383736,1.270810959043993e-10,0.0007678584677467757
371,4,"(15, 15)","(0.96875, 0.96875)","(0.9375, 0.9375)","(1.0, 1.0)",0.03691430365072354,1.421065524282785e-10,0.0013626656719112687
372,4,"(15, 14)","(0.96875, 0.90625)","(0.9375, 0.875)","(1.0, 0.9375)",0.02771026154383736,1.2708109590437808e-10,0.0007678584677467757
373,4,"(15, 13)","(0.96875, 0.84375)","(0.9375, 0.8125)","(1.0, 0.875)",0.03509850158742976,1.0583189151140521e-10,0.0012319047078509177
374,4,"(14, 13)","(0.90625, 0.84375)","(0.875, 0.8125)","(0.9375, 0.875)",0.029955948066047927,8.462799302027304e-11,0.0008973587399077676
375,4,"(14, 12)","(0.90625, 0.78125)","(0.875, 0.75)","(0.9375, 0.8125)",0.03334585124549041,6.704334204136722e-11,0.001111945728243032
376,4,"(15, 12)","(0.96875, 0.78125)","(0.9375, 0.75)","(1.0, 0.8125)",0.031430762380847625,9.080643498855647e-11,0.000987892733034871
377,4,"(15, 11)","(0.96875, 0.71875)","(0.9375, 0.6875)","(1.0, 0.75)",0.03143076238084762,9.080643498858842e-11,0.0009878927330348706
378,4,"(15, 10)","(0.96875, 0.65625)","(0.9375, 0.625)","(1.0, 0.6875)",0.03509850158742978,1.0583189151145046e-10,0.0012319047078509192
379,4,"(14, 10)","(0.90625, 0.65625)","(0.875, 0.625)","(0.9375, 0.6875)",0.029955948066047917,8.462799302030826e-11,0.0008973587399077669
380,4,"(14, 11)","(0.90625, 0.71875)","(0.875, 0.6875)","(0.9375, 0.75)",0.03334585124549042,6.704334204140543e-11,0.001111945728243033
381,4,"(13, 11)","(0.84375, 0.71875)","(0.8125, 0.6875)","(0.875, 0.75)",0.03205864423752531,3.343725371034277e-11,0.0010277566369109611
382,4,"(12, 11)","(0.78125, 0.71875)","(0.75, 0.6875)","(0.8125, 0.75)",0.032894256827873364,9.674160762785212e-12,0.001082032122583933
383,4,"(12, 10)","(0.78125, 0.65625)","(0.75, 0.625)","(0.8125, 0.6875)",0.0320586442375253,3.3437253710357107e-11,0.0010277566369109607
384,4,"(13, 10)","(0.84375, 0.65625)","(0.8125, 0.625)","(0.875, 0.6875)",0.034111480826574066,5.4641152200981964e-11,0.001163593069540578
385,4,"(13, 9)","(0.84375, 0.59375)","(0.8125, 0.5625)","(0.875, 0.625)",0.029955948066047927,8.46279930201666e-11,0.0008973587399077676
386,4,"(12, 9)","(0.78125, 0.59375)","(0.75, 0.5625)","(0.8125, 0.625)",0.0333458512454904,6.704334204126763e-11,0.0011119457282430317
387,4,"(12, 8)","(0.78125, 0.53125)","(0.75, 0.5)","(0.8125, 0.5625)",0.031430762380847625,9.08064349886545e-11,0.000987892733034871
388,4,"(13, 8)","(0.84375, 0.53125)","(0.8125, 0.5)","(0.875, 0.5625)",0.03509850158742976,1.0583189151150584e-10,0.0012319047078509177
389,4,"(14, 8)","(0.90625, 0.53125)","(0.875, 0.5)","(0.9375, 0.5625)",0.027710261543837364,1.2708109590448223e-10,0.0007678584677467759
390,4,"(14, 9)","(0.90625, 0.59375)","(0.875, 0.5625)","(0.9375, 0.625)",0.03577478722823244,1.0949644492651968e-10,0.001279835291728858
391,4,"(15, 9)","(0.96875, 0.59375)","(0.9375, 0.5625)","(1.0, 0.625)",0.02771026154383735,1.2708109590430467e-10,0.0007678584677467752
392,4,"(15, 8)","(0.96875, 0.53125)","(0.9375, 0.5)","(1.0, 0.5625)",0.036914303650723526,1.4210655242835436e-10,0.001362665671911268
393,1,"(1, 0)","(0.75, 0.25)","(0.5, 0.0)","(1.0, 0.5)",0.2696448281227216,4.166838584173352e-30,0.07270833333333208
