i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
81,7,"(16, 95)","(0.12890625, 0.74609375)","(0.125, 0.7421875)","(0.1328125, 0.75)",0.004360295852765571,8.35149707601057e-07,1.8177030216043577e-05
82,3,"(0, 5)","(0.0625, 0.6875)","(0.0, 0.625)","(0.125, 0.75)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
83,3,"(0, 6)","(0.0625, 0.8125)","(0.0, 0.75)","(0.125, 0.875)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
84,3,"(0, 7)","(0.0625, 0.9375)","(0.0, 0.875)","(0.125, 1.0)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
85,3,"(1, 7)","(0.1875, 0.9375)","(0.125, 0.875)","(0.25, 1.0)",0.018749999999999836,2.1351755795468834e-32,0.00035156249999999386
86,7,"(31, 111)","(0.24609375, 0.87109375)","(0.2421875, 0.8671875)","(0.25, 0.875)",0.004360295852765571,8.351497076010572e-07,1.8177030216043584e-05
87,7,"(31, 110)","(0.24609375, 0.86328125)","(0.2421875, 0.859375)","(0.25, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
88,7,"(30, 110)","(0.23828125, 0.86328125)","(0.234375, 0.859375)","(0.2421875, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
89,7,"(30, 111)","(0.23828125, 0.87109375)","(0.234375, 0.8671875)","(0.2421875, 0.875)",0.003846457530334736,6.140434797840138e-07,1.4181192052884784e-05
90,7,"(29, 111)","(0.23046875, 0.87109375)","(0.2265625, 0.8671875)","(0.234375, 0.875)",0.0029318922806516427,5.28320012240444e-07,8.067672333104247e-06
91,7,"(28, 111)","(0.22265625, 0.87109375)","(0.21875, 0.8671875)","(0.2265625, 0.875)",0.0013740314717312744,7.130643922022128e-08,1.8166560460877906e-06
92,7,"(28, 110)","(0.22265625, 0.86328125)","(0.21875, 0.859375)","(0.2265625, 0.8671875)",0.006822347526953028,3.1511594545589557e-07,4.62293098330662e-05
93,7,"(29, 110)","(0.23046875, 0.86328125)","(0.2265625, 0.859375)","(0.234375, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
94,6,"(14, 54)","(0.2265625, 0.8515625)","(0.21875, 0.84375)","(0.234375, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
95,6,"(15, 54)","(0.2421875, 0.8515625)","(0.234375, 0.84375)","(0.25, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
96,5,"(7, 26)","(0.234375, 0.828125)","(0.21875, 0.8125)","(0.25, 0.84375)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
97,5,"(6, 26)","(0.203125, 0.828125)","(0.1875, 0.8125)","(0.21875, 0.84375)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
98,7,"(24, 108)","(0.19140625, 0.84765625)","(0.1875, 0.84375)","(0.1953125, 0.8515625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
99,7,"(24, 109)","(0.19140625, 0.85546875)","(0.1875, 0.8515625)","(0.1953125, 0.859375)",0.004475436797130716,7.917278936695288e-07,1.923780663144211e-05
100,7,"(25, 109)","(0.19921875, 0.85546875)","(0.1953125, 0.8515625)","(0.203125, 0.859375)",0.006657424804666,4.0959556203720297e-07,4.3911709467744915e-05
101,7,"(25, 108)","(0.19921875, 0.84765625)","(0.1953125, 0.84375)","(0.203125, 0.8515625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
102,6,"(13, 54)","(0.2109375, 0.8515625)","(0.203125, 0.84375)","(0.21875, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
103,7,"(26, 110)","(0.20703125, 0.86328125)","(0.203125, 0.859375)","(0.2109375, 0.8671875)",0.004139995129779005,7.909602326194572e-07,1.6348599441974425e-05
104,7,"(27, 110)","(0.21484375, 0.86328125)","(0.2109375, 0.859375)","(0.21875, 0.8671875)",0.005854490174344709,7.51210316293835e-07,3.3523844885204913e-05
105,7,"(27, 111)","(0.21484375, 0.87109375)","(0.2109375, 0.8671875)","(0.21875, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
106,7,"(26, 111)","(0.20703125, 0.87109375)","(0.203125, 0.8671875)","(0.2109375, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
107,7,"(25, 111)","(0.19921875, 0.87109375)","(0.1953125, 0.8671875)","(0.203125, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
108,7,"(25, 110)","(0.19921875, 0.86328125)","(0.1953125, 0.859375)","(0.203125, 0.8671875)",0.0015699086442627823,1.2880038189925194e-07,2.3358127694317553e-06
109,7,"(24, 110)","(0.19140625, 0.86328125)","(0.1875, 0.859375)","(0.1953125, 0.8671875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
110,7,"(24, 111)","(0.19140625, 0.87109375)","(0.1875, 0.8671875)","(0.1953125, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
111,6,"(11, 55)","(0.1796875, 0.8671875)","(0.171875, 0.859375)","(0.1875, 0.875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
112,7,"(23, 109)","(0.18359375, 0.85546875)","(0.1796875, 0.8515625)","(0.1875, 0.859375)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
113,7,"(23, 108)","(0.18359375, 0.84765625)","(0.1796875, 0.84375)","(0.1875, 0.8515625)",0.006212007240915248,5.671916468163853e-07,3.802184231436709e-05
114,7,"(22, 108)","(0.17578125, 0.84765625)","(0.171875, 0.84375)","(0.1796875, 0.8515625)",0.002733059647587248,4.170598964568895e-07,7.052555140812842e-06
115,7,"(22, 109)","(0.17578125, 0.85546875)","(0.171875, 0.8515625)","(0.1796875, 0.859375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
116,6,"(10, 54)","(0.1640625, 0.8515625)","(0.15625, 0.84375)","(0.171875, 0.859375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
117,6,"(10, 55)","(0.1640625, 0.8671875)","(0.15625, 0.859375)","(0.171875, 0.875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
118,5,"(4, 27)","(0.140625, 0.859375)","(0.125, 0.84375)","(0.15625, 0.875)",0.004687499999999959,1.3344847372168021e-33,2.1972656249999616e-05
119,6,"(9, 53)","(0.1484375, 0.8359375)","(0.140625, 0.828125)","(0.15625, 0.84375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
120,6,"(8, 53)","(0.1328125, 0.8359375)","(0.125, 0.828125)","(0.140625, 0.84375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
121,6,"(8, 52)","(0.1328125, 0.8203125)","(0.125, 0.8125)","(0.140625, 0.828125)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
122,7,"(18, 104)","(0.14453125, 0.81640625)","(0.140625, 0.8125)","(0.1484375, 0.8203125)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
123,7,"(18, 105)","(0.14453125, 0.82421875)","(0.140625, 0.8203125)","(0.1484375, 0.828125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
124,7,"(19, 105)","(0.15234375, 0.82421875)","(0.1484375, 0.8203125)","(0.15625, 0.828125)",0.002733059647587248,4.170598964568896e-07,7.052555140812844e-06
125,7,"(19, 104)","(0.15234375, 0.81640625)","(0.1484375, 0.8125)","(0.15625, 0.8203125)",0.006212007240915248,5.671916468163854e-07,3.802184231436709e-05
126,7,"(20, 104)","(0.16015625, 0.81640625)","(0.15625, 0.8125)","(0.1640625, 0.8203125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
127,7,"(21, 104)","(0.16796875, 0.81640625)","(0.1640625, 0.8125)","(0.171875, 0.8203125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
128,7,"(21, 105)","(0.16796875, 0.82421875)","(0.1640625, 0.8203125)","(0.171875, 0.828125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
129,7,"(20, 105)","(0.16015625, 0.82421875)","(0.15625, 0.8203125)","(0.1640625, 0.828125)",0.006827186895663643,2.1697128462528522e-07,4.639350962369609e-05
130,7,"(20, 106)","(0.16015625, 0.83203125)","(0.15625, 0.828125)","(0.1640625, 0.8359375)",0.003636740288274817,5.888534694698441e-07,1.2637026454891354e-05
131,7,"(20, 107)","(0.16015625, 0.83984375)","(0.15625, 0.8359375)","(0.1640625, 0.84375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
132,7,"(21, 107)","(0.16796875, 0.83984375)","(0.1640625, 0.8359375)","(0.171875, 0.84375)",0.003636740288274816,5.888534694698441e-07,1.263702645489135e-05
133,7,"(21, 106)","(0.16796875, 0.83203125)","(0.1640625, 0.828125)","(0.171875, 0.8359375)",0.006862370203734622,2.0662337952082162e-07,4.6885501433583934e-05
134,7,"(22, 106)","(0.17578125, 0.83203125)","(0.171875, 0.828125)","(0.1796875, 0.8359375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
135,7,"(22, 107)","(0.17578125, 0.83984375)","(0.171875, 0.8359375)","(0.1796875, 0.84375)",0.006827186895663643,2.1697128462528522e-07,4.639350962369609e-05
136,7,"(23, 107)","(0.18359375, 0.83984375)","(0.1796875, 0.8359375)","(0.1875, 0.84375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
137,7,"(23, 106)","(0.18359375, 0.83203125)","(0.1796875, 0.828125)","(0.1875, 0.8359375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
138,6,"(11, 52)","(0.1796875, 0.8203125)","(0.171875, 0.8125)","(0.1875, 0.828125)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
139,5,"(5, 25)","(0.171875, 0.796875)","(0.15625, 0.78125)","(0.1875, 0.8125)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
140,7,"(19, 103)","(0.15234375, 0.80859375)","(0.1484375, 0.8046875)","(0.15625, 0.8125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
141,7,"(19, 102)","(0.15234375, 0.80078125)","(0.1484375, 0.796875)","(0.15625, 0.8046875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
142,7,"(18, 102)","(0.14453125, 0.80078125)","(0.140625, 0.796875)","(0.1484375, 0.8046875)",0.006657424804666,4.0959556203720307e-07,4.3911709467744915e-05
143,7,"(18, 103)","(0.14453125, 0.80859375)","(0.140625, 0.8046875)","(0.1484375, 0.8125)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
144,7,"(17, 103)","(0.13671875, 0.80859375)","(0.1328125, 0.8046875)","(0.140625, 0.8125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
145,7,"(16, 103)","(0.12890625, 0.80859375)","(0.125, 0.8046875)","(0.1328125, 0.8125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
146,7,"(16, 102)","(0.12890625, 0.80078125)","(0.125, 0.796875)","(0.1328125, 0.8046875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
147,7,"(17, 102)","(0.13671875, 0.80078125)","(0.1328125, 0.796875)","(0.140625, 0.8046875)",0.001569908644262782,1.2880038189925197e-07,2.335812769431754e-06
148,7,"(17, 101)","(0.13671875, 0.79296875)","(0.1328125, 0.7890625)","(0.140625, 0.796875)",0.004139995129779006,7.909602326194573e-07,1.634859944197443e-05
149,7,"(16, 101)","(0.12890625, 0.79296875)","(0.125, 0.7890625)","(0.1328125, 0.796875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
150,7,"(16, 100)","(0.12890625, 0.78515625)","(0.125, 0.78125)","(0.1328125, 0.7890625)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
151,7,"(17, 100)","(0.13671875, 0.78515625)","(0.1328125, 0.78125)","(0.140625, 0.7890625)",0.005854490174344709,7.51210316293835e-07,3.3523844885204913e-05
152,6,"(9, 50)","(0.1484375, 0.7890625)","(0.140625, 0.78125)","(0.15625, 0.796875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
153,6,"(9, 49)","(0.1484375, 0.7734375)","(0.140625, 0.765625)","(0.15625, 0.78125)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
154,7,"(17, 99)","(0.13671875, 0.77734375)","(0.1328125, 0.7734375)","(0.140625, 0.78125)",0.006822347526953028,3.151159454558957e-07,4.62293098330662e-05
155,7,"(16, 99)","(0.12890625, 0.77734375)","(0.125, 0.7734375)","(0.1328125, 0.78125)",0.0013740314717312744,7.130643922022131e-08,1.8166560460877906e-06
156,7,"(16, 98)","(0.12890625, 0.76953125)","(0.125, 0.765625)","(0.1328125, 0.7734375)",0.0029318922806516423,5.28320012240444e-07,8.067672333104244e-06
157,7,"(17, 98)","(0.13671875, 0.76953125)","(0.1328125, 0.765625)","(0.140625, 0.7734375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
158,7,"(17, 97)","(0.13671875, 0.76171875)","(0.1328125, 0.7578125)","(0.140625, 0.765625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
159,7,"(16, 97)","(0.12890625, 0.76171875)","(0.125, 0.7578125)","(0.1328125, 0.765625)",0.003846457530334735,6.140434797840137e-07,1.4181192052884777e-05
160,7,"(16, 96)","(0.12890625, 0.75390625)","(0.125, 0.75)","(0.1328125, 0.7578125)",0.004360295852765571,8.35149707601057e-07,1.8177030216043577e-05
161,7,"(17, 96)","(0.13671875, 0.75390625)","(0.1328125, 0.75)","(0.140625, 0.7578125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
162,6,"(9, 48)","(0.1484375, 0.7578125)","(0.140625, 0.75)","(0.15625, 0.765625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
163,5,"(5, 24)","(0.171875, 0.765625)","(0.15625, 0.75)","(0.1875, 0.78125)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
164,4,"(3, 12)","(0.21875, 0.78125)","(0.1875, 0.75)","(0.25, 0.8125)",0.05624999999999953,1.907803821497556e-31,0.003164062499999947
165,4,"(4, 12)","(0.28125, 0.78125)","(0.25, 0.75)","(0.3125, 0.8125)",0.05624999999999953,1.907803821497556e-31,0.003164062499999947
166,5,"(10, 24)","(0.328125, 0.765625)","(0.3125, 0.75)","(0.34375, 0.78125)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
167,6,"(22, 48)","(0.3515625, 0.7578125)","(0.34375, 0.75)","(0.359375, 0.765625)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
168,7,"(46, 96)","(0.36328125, 0.75390625)","(0.359375, 0.75)","(0.3671875, 0.7578125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
169,7,"(47, 96)","(0.37109375, 0.75390625)","(0.3671875, 0.75)","(0.375, 0.7578125)",0.004360295852765571,8.35149707601057e-07,1.8177030216043577e-05
170,7,"(47, 97)","(0.37109375, 0.76171875)","(0.3671875, 0.7578125)","(0.375, 0.765625)",0.0038464575303347355,6.140434797840135e-07,1.418119205288478e-05
171,7,"(46, 97)","(0.36328125, 0.76171875)","(0.359375, 0.7578125)","(0.3671875, 0.765625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
172,7,"(46, 98)","(0.36328125, 0.76953125)","(0.359375, 0.765625)","(0.3671875, 0.7734375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
173,7,"(47, 98)","(0.37109375, 0.76953125)","(0.3671875, 0.765625)","(0.375, 0.7734375)",0.0029318922806516423,5.28320012240444e-07,8.067672333104244e-06
174,7,"(47, 99)","(0.37109375, 0.77734375)","(0.3671875, 0.7734375)","(0.375, 0.78125)",0.0013740314717312744,7.130643922022131e-08,1.8166560460877906e-06
175,7,"(46, 99)","(0.36328125, 0.77734375)","(0.359375, 0.7734375)","(0.3671875, 0.78125)",0.0068223475269530275,3.1511594545589567e-07,4.6229309833066186e-05
176,6,"(22, 49)","(0.3515625, 0.7734375)","(0.34375, 0.765625)","(0.359375, 0.78125)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
177,6,"(22, 50)","(0.3515625, 0.7890625)","(0.34375, 0.78125)","(0.359375, 0.796875)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
178,7,"(46, 100)","(0.36328125, 0.78515625)","(0.359375, 0.78125)","(0.3671875, 0.7890625)",0.005854490174344709,7.51210316293835e-07,3.352384488520491e-05
179,7,"(47, 100)","(0.37109375, 0.78515625)","(0.3671875, 0.78125)","(0.375, 0.7890625)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
180,7,"(47, 101)","(0.37109375, 0.79296875)","(0.3671875, 0.7890625)","(0.375, 0.796875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
181,7,"(46, 101)","(0.36328125, 0.79296875)","(0.359375, 0.7890625)","(0.3671875, 0.796875)",0.004139995129779006,7.909602326194576e-07,1.634859944197443e-05
182,7,"(46, 102)","(0.36328125, 0.80078125)","(0.359375, 0.796875)","(0.3671875, 0.8046875)",0.0015699086442627823,1.2880038189925197e-07,2.3358127694317553e-06
183,7,"(47, 102)","(0.37109375, 0.80078125)","(0.3671875, 0.796875)","(0.375, 0.8046875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
184,7,"(47, 103)","(0.37109375, 0.80859375)","(0.3671875, 0.8046875)","(0.375, 0.8125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
185,7,"(46, 103)","(0.36328125, 0.80859375)","(0.359375, 0.8046875)","(0.3671875, 0.8125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
186,7,"(45, 103)","(0.35546875, 0.80859375)","(0.3515625, 0.8046875)","(0.359375, 0.8125)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
187,7,"(45, 102)","(0.35546875, 0.80078125)","(0.3515625, 0.796875)","(0.359375, 0.8046875)",0.006657424804666,4.0959556203720307e-07,4.3911709467744915e-05
188,7,"(44, 102)","(0.34765625, 0.80078125)","(0.34375, 0.796875)","(0.3515625, 0.8046875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
189,7,"(44, 103)","(0.34765625, 0.80859375)","(0.34375, 0.8046875)","(0.3515625, 0.8125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
190,5,"(10, 25)","(0.328125, 0.796875)","(0.3125, 0.78125)","(0.34375, 0.8125)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
191,6,"(20, 52)","(0.3203125, 0.8203125)","(0.3125, 0.8125)","(0.328125, 0.828125)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
192,7,"(40, 106)","(0.31640625, 0.83203125)","(0.3125, 0.828125)","(0.3203125, 0.8359375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
193,7,"(40, 107)","(0.31640625, 0.83984375)","(0.3125, 0.8359375)","(0.3203125, 0.84375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
194,7,"(41, 107)","(0.32421875, 0.83984375)","(0.3203125, 0.8359375)","(0.328125, 0.84375)",0.006827186895663643,2.1697128462528514e-07,4.639350962369609e-05
195,7,"(41, 106)","(0.32421875, 0.83203125)","(0.3203125, 0.828125)","(0.328125, 0.8359375)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
196,7,"(42, 106)","(0.33203125, 0.83203125)","(0.328125, 0.828125)","(0.3359375, 0.8359375)",0.006862370203734622,2.0662337952082164e-07,4.6885501433583934e-05
197,7,"(42, 107)","(0.33203125, 0.83984375)","(0.328125, 0.8359375)","(0.3359375, 0.84375)",0.003636740288274816,5.888534694698441e-07,1.263702645489135e-05
198,7,"(43, 107)","(0.33984375, 0.83984375)","(0.3359375, 0.8359375)","(0.34375, 0.84375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
199,7,"(43, 106)","(0.33984375, 0.83203125)","(0.3359375, 0.828125)","(0.34375, 0.8359375)",0.003636740288274816,5.888534694698442e-07,1.263702645489135e-05
200,7,"(43, 105)","(0.33984375, 0.82421875)","(0.3359375, 0.8203125)","(0.34375, 0.828125)",0.006827186895663643,2.1697128462528514e-07,4.639350962369609e-05
201,7,"(42, 105)","(0.33203125, 0.82421875)","(0.328125, 0.8203125)","(0.3359375, 0.828125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
202,7,"(42, 104)","(0.33203125, 0.81640625)","(0.328125, 0.8125)","(0.3359375, 0.8203125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
203,7,"(43, 104)","(0.33984375, 0.81640625)","(0.3359375, 0.8125)","(0.34375, 0.8203125)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
204,7,"(44, 104)","(0.34765625, 0.81640625)","(0.34375, 0.8125)","(0.3515625, 0.8203125)",0.006212007240915249,5.671916468163854e-07,3.80218423143671e-05
205,7,"(44, 105)","(0.34765625, 0.82421875)","(0.34375, 0.8203125)","(0.3515625, 0.828125)",0.002733059647587248,4.170598964568897e-07,7.052555140812844e-06
206,7,"(45, 105)","(0.35546875, 0.82421875)","(0.3515625, 0.8203125)","(0.359375, 0.828125)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
207,7,"(45, 104)","(0.35546875, 0.81640625)","(0.3515625, 0.8125)","(0.359375, 0.8203125)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
208,6,"(23, 52)","(0.3671875, 0.8203125)","(0.359375, 0.8125)","(0.375, 0.828125)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
209,6,"(23, 53)","(0.3671875, 0.8359375)","(0.359375, 0.828125)","(0.375, 0.84375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
210,6,"(22, 53)","(0.3515625, 0.8359375)","(0.34375, 0.828125)","(0.359375, 0.84375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
211,5,"(11, 27)","(0.359375, 0.859375)","(0.34375, 0.84375)","(0.375, 0.875)",0.004687499999999959,1.3344847372168021e-33,2.1972656249999616e-05
212,6,"(21, 55)","(0.3359375, 0.8671875)","(0.328125, 0.859375)","(0.34375, 0.875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
213,6,"(21, 54)","(0.3359375, 0.8515625)","(0.328125, 0.84375)","(0.34375, 0.859375)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
214,7,"(41, 109)","(0.32421875, 0.85546875)","(0.3203125, 0.8515625)","(0.328125, 0.859375)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
215,7,"(41, 108)","(0.32421875, 0.84765625)","(0.3203125, 0.84375)","(0.328125, 0.8515625)",0.002733059647587248,4.170598964568896e-07,7.052555140812844e-06
216,7,"(40, 108)","(0.31640625, 0.84765625)","(0.3125, 0.84375)","(0.3203125, 0.8515625)",0.006212007240915248,5.671916468163854e-07,3.802184231436709e-05
217,7,"(40, 109)","(0.31640625, 0.85546875)","(0.3125, 0.8515625)","(0.3203125, 0.859375)",0.0013538146926083212,6.142299015012907e-08,1.7713912317720345e-06
218,6,"(20, 55)","(0.3203125, 0.8671875)","(0.3125, 0.859375)","(0.328125, 0.875)",0.0023437499999999795,3.3362118430420053e-34,5.493164062499904e-06
219,7,"(39, 111)","(0.30859375, 0.87109375)","(0.3046875, 0.8671875)","(0.3125, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
220,7,"(39, 110)","(0.30859375, 0.86328125)","(0.3046875, 0.859375)","(0.3125, 0.8671875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
221,7,"(38, 110)","(0.30078125, 0.86328125)","(0.296875, 0.859375)","(0.3046875, 0.8671875)",0.0015699086442627823,1.28800381899252e-07,2.3358127694317553e-06
222,7,"(38, 111)","(0.30078125, 0.87109375)","(0.296875, 0.8671875)","(0.3046875, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
223,7,"(37, 111)","(0.29296875, 0.87109375)","(0.2890625, 0.8671875)","(0.296875, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
224,7,"(36, 111)","(0.28515625, 0.87109375)","(0.28125, 0.8671875)","(0.2890625, 0.875)",0.0011718749999999898,8.340529607605013e-35,1.373291015624976e-06
225,7,"(36, 110)","(0.28515625, 0.86328125)","(0.28125, 0.859375)","(0.2890625, 0.8671875)",0.005854490174344709,7.512103162938349e-07,3.3523844885204913e-05
226,7,"(37, 110)","(0.29296875, 0.86328125)","(0.2890625, 0.859375)","(0.296875, 0.8671875)",0.004139995129779005,7.909602326194571e-07,1.6348599441974425e-05
227,6,"(18, 54)","(0.2890625, 0.8515625)","(0.28125, 0.84375)","(0.296875, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
228,7,"(38, 108)","(0.30078125, 0.84765625)","(0.296875, 0.84375)","(0.3046875, 0.8515625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
229,7,"(38, 109)","(0.30078125, 0.85546875)","(0.296875, 0.8515625)","(0.3046875, 0.859375)",0.006657424804665999,4.095955620372029e-07,4.39117094677449e-05
230,7,"(39, 109)","(0.30859375, 0.85546875)","(0.3046875, 0.8515625)","(0.3125, 0.859375)",0.004475436797130716,7.917278936695286e-07,1.923780663144211e-05
231,7,"(39, 108)","(0.30859375, 0.84765625)","(0.3046875, 0.84375)","(0.3125, 0.8515625)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
232,5,"(9, 26)","(0.296875, 0.828125)","(0.28125, 0.8125)","(0.3125, 0.84375)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
233,5,"(8, 26)","(0.265625, 0.828125)","(0.25, 0.8125)","(0.28125, 0.84375)",0.028124999999999765,4.76950955374389e-32,0.0007910156249999867
234,6,"(16, 54)","(0.2578125, 0.8515625)","(0.25, 0.84375)","(0.265625, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
235,6,"(17, 54)","(0.2734375, 0.8515625)","(0.265625, 0.84375)","(0.28125, 0.859375)",0.014062499999999882,1.1923773884359725e-32,0.00019775390624999668
236,7,"(34, 110)","(0.26953125, 0.86328125)","(0.265625, 0.859375)","(0.2734375, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
237,7,"(35, 110)","(0.27734375, 0.86328125)","(0.2734375, 0.859375)","(0.28125, 0.8671875)",0.006822347526953028,3.151159454558956e-07,4.62293098330662e-05
238,7,"(35, 111)","(0.27734375, 0.87109375)","(0.2734375, 0.8671875)","(0.28125, 0.875)",0.0013740314717312744,7.13064392202213e-08,1.8166560460877906e-06
239,7,"(34, 111)","(0.26953125, 0.87109375)","(0.265625, 0.8671875)","(0.2734375, 0.875)",0.0029318922806516423,5.283200122404441e-07,8.067672333104244e-06
240,7,"(33, 111)","(0.26171875, 0.87109375)","(0.2578125, 0.8671875)","(0.265625, 0.875)",0.003846457530334736,6.140434797840138e-07,1.4181192052884784e-05
241,7,"(33, 110)","(0.26171875, 0.86328125)","(0.2578125, 0.859375)","(0.265625, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
242,7,"(32, 110)","(0.25390625, 0.86328125)","(0.25, 0.859375)","(0.2578125, 0.8671875)",0.007031249999999941,2.9809434710899312e-33,4.943847656249917e-05
243,7,"(32, 111)","(0.25390625, 0.87109375)","(0.25, 0.8671875)","(0.2578125, 0.875)",0.004360295852765571,8.351497076010572e-07,1.8177030216043584e-05
