variant,RMSE,PSNR,SSIM,C_rel,basis_size,final_energy
AMDI_full,0.07618555362911925,22.362547443013273,0.7036975395056014,0.045654296875,187,0.006564992097848528
AMDI_fixed,0.0668191830615921,23.50197676791509,0.7020340537083454,0.25,1024,0.005418434424389822
AMDI_no_diffusion,0.076001039264904,22.38360937966652,0.7027400075048947,0.048583984375,199,0.005981489231261356
AMDI_linear,0.08100605773068514,21.8296500568373,0.7145835394071578,0.045654296875,187,0.011975945428592885
