variant,n_noise_realizations,RMSE_mean,RMSE_std,SSIM_mean,SSIM_std,C_rel_mean,C_rel_std,max_within_seed_complexity_match_error,all_energy_monotone,minimum_safeguard_accept_rate
Adaptive AMDI reference,5,0.053615026740167084,0.0008719982254660637,0.8521966060324278,0.005062007086456777,0.086669921875,0.0025371838001497227,0.0,True,1.0
Fixed selected tree,5,0.05360780031528162,0.0008710687371432812,0.8522229880177493,0.005046858927267212,0.086669921875,0.0025371838001497227,0.0,True,1.0
No intrinsic diffusion,5,0.053234778168163965,0.0008442340696869598,0.85543433685706,0.005439608127727532,0.086669921875,0.0025371838001497227,0.0,True,1.0
State-independent weights,5,0.06045685996165475,0.0012664925639468483,0.8559424594180565,0.00495120212131087,0.086669921875,0.0025371838001497227,0.0,True,1.0
