noise_seed,variant,description,RMSE,PSNR,SSIM,C_rel,basis_size,common_tree_C_rel,complexity_match_error,iterations,energy_monotone_all_steps,safeguard_accept_rate,final_relative_update,final_relative_energy_change,final_energy
11,Adaptive AMDI reference,adaptive tree evolution + state-dependent intrinsic diffusion,0.05326361026935697,25.471387998301672,0.8522694471853258,0.088134765625,361,0.088134765625,0.0,12,True,1.0,0.0005027397907962467,1.0107236337137518e-05,0.006522260868276544
11,Fixed selected tree,same AMDI-selected tree; state-dependent intrinsic diffusion retained,0.05325839312067469,25.472238819282765,0.8522682226629867,0.088134765625,361,0.088134765625,0.0,12,True,1.0,0.0005202685361674622,7.288485182508586e-06,0.0065221502388754715
11,No intrinsic diffusion,same tree and sparsity term; alpha=0,0.05298396974406094,25.51711011920794,0.8545409841649089,0.088134765625,361,0.088134765625,0.0,12,True,1.0,0.0004111398992022423,2.367644245026331e-05,0.006225988384027518
11,State-independent weights,same tree and alpha; coefficient dependence removed from graph weights,0.06056718330167924,24.35525245771693,0.8574884811420741,0.088134765625,361,0.088134765625,0.0,12,True,1.0,0.001247574082638515,9.882049237659442e-05,0.012288686282712376
17,Adaptive AMDI reference,adaptive tree evolution + state-dependent intrinsic diffusion,0.05248303182628402,25.599621693915854,0.8591372776666056,0.09033203125,370,0.09033203125,0.0,12,True,1.0,0.0005052916549199124,1.1005129076493142e-05,0.006524273537102346
17,Fixed selected tree,same AMDI-selected tree; state-dependent intrinsic diffusion retained,0.05247524732238057,25.600910117134386,0.8591468774724921,0.09033203125,370,0.09033203125,0.0,12,True,1.0,0.0005231986472005409,8.380996110953775e-06,0.006524166310373912
17,No intrinsic diffusion,same tree and sparsity term; alpha=0,0.05201890285189673,25.676776237878624,0.8631064887980017,0.09033203125,370,0.09033203125,0.0,12,True,1.0,0.00041431658858085064,2.4218979033857708e-05,0.006231371641908648
17,State-independent weights,same tree and alpha; coefficient dependence removed from graph weights,0.058498146099707465,24.65715794380083,0.8634281936719748,0.09033203125,370,0.09033203125,0.0,12,True,1.0,0.001252041521232514,9.95471725326239e-05,0.012383444768687375
23,Adaptive AMDI reference,adaptive tree evolution + state-dependent intrinsic diffusion,0.053457605400432394,25.439809981799296,0.8448407207280366,0.0859375,352,0.0859375,0.0,12,True,1.0,0.0004936289036623938,7.332070727341073e-06,0.00660769284448788
23,Fixed selected tree,same AMDI-selected tree; state-dependent intrinsic diffusion retained,0.05345159524289458,25.44078657810386,0.8448930706163691,0.0859375,352,0.0859375,0.0,12,True,1.0,0.0005137861755837534,5.8261304782337775e-06,0.006607611287809117
23,No intrinsic diffusion,same tree and sparsity term; alpha=0,0.05319311234328277,25.482891964985527,0.8478128563131168,0.0859375,352,0.0859375,0.0,12,True,1.0,0.0003963193862818951,2.181161361000406e-05,0.00630742101763893
23,State-independent weights,same tree and alpha; coefficient dependence removed from graph weights,0.06022486942933028,24.404482658035413,0.8503853891211546,0.0859375,352,0.0859375,0.0,12,True,1.0,0.0012365517900455112,9.712903716039643e-05,0.012352841856324296
31,Adaptive AMDI reference,adaptive tree evolution + state-dependent intrinsic diffusion,0.054799908537552545,25.224403327272245,0.8520941352752303,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0004695239698163478,5.816010108668224e-06,0.006649706155390831
31,Fixed selected tree,same AMDI-selected tree; state-dependent intrinsic diffusion retained,0.054790261931921005,25.225932467189722,0.8521312874816801,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0004990149141044431,4.2636696993701075e-06,0.006649606296022991
31,No intrinsic diffusion,same tree and sparsity term; alpha=0,0.05428081915379347,25.30707214018412,0.855498374879973,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.00039545856520613803,2.132055381247982e-05,0.006373899121761598
31,State-independent weights,same tree and alpha; coefficient dependence removed from graph weights,0.061915063738130806,24.16407351315285,0.8530403293186006,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0012393421461909806,9.616853101484236e-05,0.012415090827078042
43,Adaptive AMDI reference,adaptive tree evolution + state-dependent intrinsic diffusion,0.05407097766720949,25.340715555912844,0.8526414493069407,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0004831577761738751,7.962465611193768e-06,0.0064035604026982185
43,Fixed selected tree,same AMDI-selected tree; state-dependent intrinsic diffusion retained,0.054063503958537276,25.341916205471456,0.8526754818552181,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0005082090086912937,6.372854868344653e-06,0.00640346864530722
43,No intrinsic diffusion,same tree and sparsity term; alpha=0,0.05369708674778591,25.400985512705848,0.8562129801293002,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0004023825599016999,2.3058900951534018e-05,0.006120113950247416
43,State-independent weights,same tree and alpha; coefficient dependence removed from graph weights,0.06107903723942598,24.28215634288862,0.8553699038364785,0.08447265625,346,0.08447265625,0.0,12,True,1.0,0.0012347979595789843,9.804077563150212e-05,0.012126094780251088
