selection_metric,method,heat_sigma,RMSE,PSNR,SSIM,C_rel,iterations,kappa,dt,threshold,threshold_multiplier,weight
RMSE,Heat,0.6375,0.04980649059647228,26.054281158237593,0.7254481826725437,1.0,,,,,,
RMSE,Anisotropic,,0.04284844089433525,27.361299518365534,0.8585991113913547,1.0,10,0.16,0.12,,,
RMSE,Wavelet soft,,0.04808270555781574,26.36022206146614,0.7416812607054186,1.0,,,,0.0012611670667877373,0.24736842105263157,
RMSE,TV,,0.04064205215051873,27.82048742435224,0.8388624079634691,1.0,,,,,,0.04854077042147266
