target_initial_C_rel,n_noise_realizations,initial_C_rel_mean,initial_C_rel_std,RMSE_mean,RMSE_std,SSIM_mean,SSIM_std,final_C_rel_mean,final_C_rel_std,all_energy_monotone,minimum_safeguard_accept_rate
0.1,5,0.099853515625,0.0,0.059268989730447974,0.0010392634238162574,0.8236725674753549,0.01028658177169206,0.0765625,0.003372323564420314,True,1.0
0.12,5,0.11962890625,0.0,0.052834307448885696,0.0005130962159649299,0.8602198632267392,0.005181591689201041,0.08974609375,0.0025582396284042452,True,1.0
0.14,5,0.139404296875,0.0,0.05294839155992703,0.000685364931313551,0.8528517983739674,0.007236226014611434,0.091943359375,0.0022215455402494776,True,1.0
