i,scale,translation,center,lower,upper,norm,wavelet_norm,scaling_norm
270,6,"(38, 20)","(0.6015625, 0.3203125)","(0.59375, 0.3125)","(0.609375, 0.328125)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
271,6,"(38, 21)","(0.6015625, 0.3359375)","(0.59375, 0.328125)","(0.609375, 0.34375)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
272,5,"(18, 10)","(0.578125, 0.328125)","(0.5625, 0.3125)","(0.59375, 0.34375)",0.015283853112842026,1.384153193895684e-32,0.00023359616597493088
273,5,"(18, 11)","(0.578125, 0.359375)","(0.5625, 0.34375)","(0.59375, 0.375)",0.015283853112842053,1.412090653852899e-32,0.00023359616597493172
274,4,"(8, 5)","(0.53125, 0.34375)","(0.5, 0.3125)","(0.5625, 0.375)",0.029107023746518614,5.642291480963186e-32,0.0008472188313803985
275,4,"(8, 4)","(0.53125, 0.28125)","(0.5, 0.25)","(0.5625, 0.3125)",0.029107023746515095,5.060112916165475e-32,0.0008472188313801937
276,5,"(18, 8)","(0.578125, 0.265625)","(0.5625, 0.25)","(0.59375, 0.28125)",0.015283853112842024,1.3826514263941115e-32,0.00023359616597493083
277,5,"(18, 9)","(0.578125, 0.296875)","(0.5625, 0.28125)","(0.59375, 0.3125)",0.015283853112842024,1.3826514263941115e-32,0.00023359616597493083
278,6,"(38, 18)","(0.6015625, 0.2890625)","(0.59375, 0.28125)","(0.609375, 0.296875)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
279,6,"(38, 19)","(0.6015625, 0.3046875)","(0.59375, 0.296875)","(0.609375, 0.3125)",0.007824786379724686,3.705506433993281e-33,6.122728188832495e-05
280,7,"(78, 38)","(0.61328125, 0.30078125)","(0.609375, 0.296875)","(0.6171875, 0.3046875)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
281,7,"(78, 39)","(0.61328125, 0.30859375)","(0.609375, 0.3046875)","(0.6171875, 0.3125)",0.003958139686699748,9.433981340402119e-34,1.5666869779427578e-05
282,7,"(79, 39)","(0.62109375, 0.30859375)","(0.6171875, 0.3046875)","(0.625, 0.3125)",0.00531045810347886,9.279441195567575e-08,2.8108170856848607e-05
