model,coarse_level,fine_level,e_rc
state_dependent,2,3,0.0062075510830929105
state_dependent,3,4,0.004742075861798693
state_dependent,4,5,0.0009430550253717854
state_dependent,5,6,0.00013856866379452859
state_dependent,6,7,1.769545277669588e-05
linear,2,3,0.0063489206971860885
linear,3,4,0.007971172575730143
linear,4,5,0.001094648096829899
linear,5,6,0.00014079796763736096
linear,6,7,1.7731702155602728e-05
